2025-01-23 16:23:45,928 INFO    MainThread:21100 [wandb_setup.py:_flush():68] Current SDK version is 0.19.4
2025-01-23 16:23:45,929 INFO    MainThread:21100 [wandb_setup.py:_flush():68] Configure stats pid to 21100
2025-01-23 16:23:45,929 INFO    MainThread:21100 [wandb_setup.py:_flush():68] Loading settings from C:\Users\TMB\.config\wandb\settings
2025-01-23 16:23:45,929 INFO    MainThread:21100 [wandb_setup.py:_flush():68] Loading settings from C:\dev\EE569\Assignment2-LLM\wandb\settings
2025-01-23 16:23:45,929 INFO    MainThread:21100 [wandb_setup.py:_flush():68] Loading settings from environment variables
2025-01-23 16:23:45,929 INFO    MainThread:21100 [wandb_init.py:setup_run_log_directory():624] Logging user logs to C:\dev\EE569\Assignment2-LLM\wandb\run-20250123_162345-af0osqh4\logs\debug.log
2025-01-23 16:23:45,929 INFO    MainThread:21100 [wandb_init.py:setup_run_log_directory():625] Logging internal logs to C:\dev\EE569\Assignment2-LLM\wandb\run-20250123_162345-af0osqh4\logs\debug-internal.log
2025-01-23 16:23:45,929 INFO    MainThread:21100 [wandb_init.py:init():743] calling init triggers
2025-01-23 16:23:45,929 INFO    MainThread:21100 [wandb_init.py:init():748] wandb.init called with sweep_config: {}
config: {'docs_dir': 'C:\\dev\\EE569\\Assignment2-LLM\\MYLLM\\docs_sample', 'chunk_size': 10000, 'chunk_overlap': 1000, 'vector_store': './vector_store', 'prompt_file': WindowsPath('C:/dev/EE569/Assignment2-LLM/prompts.json'), 'wandb_project': 'llmapps'}
2025-01-23 16:23:45,929 INFO    MainThread:21100 [wandb_init.py:init():776] starting backend
2025-01-23 16:23:46,426 INFO    MainThread:21100 [wandb_init.py:init():780] sending inform_init request
2025-01-23 16:23:46,515 INFO    MainThread:21100 [backend.py:_multiprocessing_setup():97] multiprocessing start_methods=spawn, using: spawn
2025-01-23 16:23:46,516 INFO    MainThread:21100 [wandb_init.py:init():795] backend started and connected
2025-01-23 16:23:46,518 INFO    MainThread:21100 [wandb_init.py:init():888] updated telemetry
2025-01-23 16:23:46,521 INFO    MainThread:21100 [wandb_init.py:init():915] communicating run to backend with 90.0 second timeout
2025-01-23 16:23:47,730 INFO    MainThread:21100 [wandb_init.py:init():967] starting run threads in backend
2025-01-23 16:23:55,752 INFO    MainThread:21100 [wandb_run.py:_console_start():2409] atexit reg
2025-01-23 16:23:55,752 INFO    MainThread:21100 [wandb_run.py:_redirect():2259] redirect: wrap_raw
2025-01-23 16:23:55,752 INFO    MainThread:21100 [wandb_run.py:_redirect():2324] Wrapping output streams.
2025-01-23 16:23:55,752 INFO    MainThread:21100 [wandb_run.py:_redirect():2349] Redirects installed.
2025-01-23 16:23:55,755 INFO    MainThread:21100 [wandb_init.py:init():1009] run started, returning control to user process
2025-01-23 16:24:28,589 INFO    MainThread:21100 [wandb_run.py:_finish():2134] finishing run tmbuot-university-of-tripoli/llmapps/af0osqh4
2025-01-23 16:24:28,589 INFO    MainThread:21100 [wandb_run.py:_atexit_cleanup():2374] got exitcode: 0
2025-01-23 16:24:28,590 INFO    MainThread:21100 [wandb_run.py:_restore():2356] restore
2025-01-23 16:24:28,590 INFO    MainThread:21100 [wandb_run.py:_restore():2362] restore done
2025-01-23 16:24:43,422 INFO    MainThread:21100 [wandb_run.py:_footer_history_summary_info():3976] rendering history
2025-01-23 16:24:43,422 INFO    MainThread:21100 [wandb_run.py:_footer_history_summary_info():4008] rendering summary
2025-01-23 16:24:43,422 INFO    MainThread:21100 [wandb_run.py:_footer_sync_info():3937] logging synced files
